label,ebird_code,scientific_name
PINK ROBIN,pinrob1,Petroica rodinogaster
PLUSH CRESTED JAY,plcjay1,Cyanocorax chrysops
POMARINE JAEGER,pomjae,Stercorarius pomarinus
PUNA TEAL,puntea1,Spatula puna
PURPLE FINCH,purfin,Haemorhous purpureus
PURPLE GALLINULE,purgal2,Porphyrio martinica
PURPLE MARTIN,purmar,Progne subis
PYRRHULOXIA,pyrrhu,Cardinalis sinuatus
RAINBOW LORIKEET,railor5,Trichoglossus moluccanus
RAZORBILL,razorb,Alca torda
RED BEARDED BEE EATER,rbbeat1,Nyctyornis amictus
RED BILLED TROPICBIRD,rebtro,Phaethon aethereus
RED CROSSBILL,redcro,Loxia curvirostra
RED FACED CORMORANT,refcor,Urile urile
RED FACED WARBLER,refwar,Cardellina rubrifrons
RED FODY,redfod1,Foudia madagascariensis
RED HEADED WOODPECKER,rehwoo,Melanerpes erythrocephalus
RED KNOT,redkno,Calidris canutus
RED LEGGED HONEYCREEPER,relhon1,Cyanerpes cyaneus
RED NAPED TROGON,rentro1,Harpactes kasumba
RED SHOULDERED HAWK,reshaw,Buteo lineatus
RED TAILED HAWK,rethaw,Buteo jamaicensis
RED WINGED BLACKBIRD,rewbla,Agelaius phoeniceus
REGENT BOWERBIRD,regbow1,Sericulus chrysocephalus
RING-NECKED PHEASANT,rinphe1,Phasianus colchicus
ROSE BREASTED GROSBEAK,robgro,Pheucticus ludovicianus
ROSEATE SPOONBILL,rosspo1,Platalea ajaja
ROSY FACED LOVEBIRD,peflov,Agapornis roseicollis
RUBY CROWNED KINGLET,ruckin,Corthylio calendula
RUBY THROATED HUMMINGBIRD,rthhum,Archilochus colubris
RUDDY SHELDUCK,rudshe,Tadorna ferruginea
SANDHILL CRANE,sancra,Antigone canadensis
SATYR TRAGOPAN,sattra1,Tragopan satyra
SAYS PHOEBE,saypho,Sayornis saya
SCARLET FACED LIOCICHLA,reflio3,Liocichla ripponi
SCARLET IBIS,scaibi,Eudocimus ruber
SCARLET MACAW,scamac1,Ara macao
SCARLET TANAGER,scatan,Piranga olivacea
SHOEBILL,shoebi1,Balaeniceps rex
SHORT BILLED DOWITCHER,shbdow,Limnodromus griseus
SMITHS LONGSPUR,smilon,Calcarius pictus
SNOW GOOSE,snogoo,Anser caerulescens
SNOW PARTRIDGE,snopar1,Lerwa lerwa
SNOWY EGRET,snoegr,Egretta thula
SNOWY OWL,snoowl1,Bubo scandiacus
SNOWY PLOVER,snoplo5,Anarhynchus nivosus
SNOWY SHEATHBILL,snoshe2,Chionis albus
SORA,sora,Porzana carolina
SPANGLED COTINGA,spacot1,Cotinga cayana
SPOTTED CATBIRD,spocat2,Ailuroedus maculosus
SPOTTED WHISTLING DUCK,spwduc1,Dendrocygna guttata
SQUACCO HERON,squher1,Ardeola ralloides
SRI LANKA BLUE MAGPIE,ceymag1,Urocissa ornata
STORK BILLED KINGFISHER,stbkin1,Pelargopsis capensis
STRIATED CARACARA,strcar1,Daptrius australis
STRIPED OWL,strowl1,Asio clamator
SUNBITTERN,sunbit1,Eurypyga helias
SUPERB STARLING,supsta1,Lamprotornis superbus
SURF SCOTER,sursco,Melanitta perspicillata
SWINHOES PHEASANT,swiphe1,Lophura swinhoii
TAWNY FROGMOUTH,tawfro1,Podargus strigoides
TOWNSENDS WARBLER,towwar,Setophaga townsendi
TREE SWALLOW,treswa,Tachycineta bicolor
TRICOLORED BLACKBIRD,tribla,Agelaius tricolor
TROPICAL KINGBIRD,trokin,Tyrannus melancholicus
TURKEY VULTURE,turvul,Cathartes aura
VARIED THRUSH,varthr,Ixoreus naevius
VEERY,veery,Catharus fuscescens
VERDIN,verdin,Auriparus flaviceps
VICTORIA CROWNED PIGEON,vicpig1,Goura victoria
VIOLET BACKED STARLING,vibsta2,Cinnyricinclus leucogaster
VIOLET CUCKOO,viocuc1,Chrysococcyx xanthorhynchus
VIOLET GREEN SWALLOW,vigswa,Tachycineta thalassina
VIOLET TURACO,viotur1,Tauraco violaceus
VISAYAN HORNBILL,tarhor1,Penelopides panini
VULTURINE GUINEAFOWL,vulgui1,Acryllium vulturinum
WATTLED CURASSOW,watcur1,Crax globulosa
WATTLED LAPWING,watlap1,Vanellus senegallus
WHITE BREASTED WATERHEN,whbwat1,Amaurornis phoenicurus
WHITE BROWED CRAKE,whbcra1,Poliolimnas cinereus
WHITE CHEEKED TURACO,whctur1,Menelikornis leucotis
WHITE EARED HUMMINGBIRD,whehum,Basilinna leucotis
WHITE NECKED RAVEN,whnrav1,Corvus albicollis
WHITE THROATED BEE EATER,wtbeat1,Merops albicollis
WILD TURKEY,wiltur,Meleagris gallopavo
WILLOW PTARMIGAN,wilpta,Lagopus lagopus
WILSONS BIRD OF PARADISE,wbopar1,Diphyllodes respublica
WOOD DUCK,wooduc,Aix sponsa
WOOD THRUSH,woothr,Hylocichla mustelina
WOODLAND KINGFISHER,wookin1,Halcyon senegalensis
WRENTIT,wrenti,Chamaea fasciata
YELLOW BELLIED FLOWERPECKER,yebflo1,Pachyglossa melanozantha
YELLOW BREASTED CHAT,yebcha,Icteria virens
YELLOW HEADED BLACKBIRD,yehbla,Xanthocephalus xanthocephalus
ZEBRA DOVE,zebdov,Geopelia striata
